                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94633,                 1.9834,                 1.2346,                0.69189,                0.75674,                0.77092,                0.58582,                 0.5317,                0.99795,                0.98157,              0.0005524,              0.0005524,              0.0005524
                      1,                0.68838,                 1.1547,                 1.0718,                0.80615,                0.87496,                0.86227,                0.80416,                0.45838,                 1.1681,                0.89862,              0.0010715,              0.0010715,              0.0010715
                      2,                0.67419,                 1.0444,                 1.0502,                0.94223,                0.95139,                0.95827,                 0.9077,                0.57037,                0.75621,                0.92799,              0.0015539,              0.0015539,              0.0015539
                      3,                 0.6738,                0.98395,                 1.0338,                0.97256,                0.95432,                0.96418,                0.93011,                0.39463,                0.66359,                0.85638,               0.001502,               0.001502,               0.001502
                      4,                 0.6356,                0.94507,                  1.024,                0.96092,                0.93056,                0.95811,                0.94126,                0.36142,                0.67836,                0.86218,               0.001502,               0.001502,               0.001502
                      5,                0.57119,                 0.8395,                 1.0018,                0.98219,                0.95403,                0.97242,                0.94699,                0.31753,                0.53113,                0.83216,               0.001447,               0.001447,               0.001447
                      6,                0.55391,                0.80307,                0.99215,                0.97257,                0.96368,                 0.9705,                0.93603,                0.32884,                0.57657,                0.83526,              0.0013919,              0.0013919,              0.0013919
                      7,                 0.5235,                0.73711,                0.97742,                0.95423,                0.95951,                0.95694,                 0.8763,                0.38601,                0.59266,                0.88786,              0.0013369,              0.0013369,              0.0013369
                      8,                0.51315,                0.70071,                0.96496,                0.96962,                0.95548,                 0.9568,                0.91062,                0.31472,                0.53633,                0.84643,              0.0012819,              0.0012819,              0.0012819
                      9,                0.49143,                0.68999,                0.96308,                0.97079,                 0.9628,                0.97083,                0.94728,                0.36219,                0.49797,                0.82124,              0.0012269,              0.0012269,              0.0012269
                     10,                0.47912,                0.65214,                0.96253,                0.94757,                0.97111,                0.96739,                0.94877,                 0.3029,                0.56322,                0.81848,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.4382,                0.59614,                0.92783,                0.95828,                0.97222,                0.96492,                0.95737,                0.26818,                0.48416,                0.81799,              0.0011169,              0.0011169,              0.0011169
                     12,                0.41129,                0.54939,                0.91257,                0.97155,                0.97222,                0.97062,                0.96614,                0.28383,                0.44082,                0.81317,              0.0010619,              0.0010619,              0.0010619
                     13,                0.42373,                0.55973,                0.92485,                0.94749,                0.96997,                0.97587,                0.96436,                0.26054,                0.45173,                0.81281,              0.0010069,              0.0010069,              0.0010069
                     14,                0.42066,                0.60327,                0.93535,                0.97276,                0.97222,                0.96535,                0.95328,                0.27427,                0.44979,                0.80814,             0.00095186,             0.00095186,             0.00095186
                     15,                0.42226,                0.54029,                0.93207,                0.96067,                0.96943,                 0.9646,                0.95559,                0.26562,                0.42338,                0.81175,             0.00089685,             0.00089685,             0.00089685
                     16,                0.40965,                0.52173,                0.92469,                 0.9719,                0.96755,                0.97273,                0.96775,                0.28112,                0.42036,                0.80926,             0.00084184,             0.00084184,             0.00084184
                     17,                0.39507,                0.51381,                0.91213,                0.96795,                0.97004,                 0.9697,                0.95264,                0.28122,                0.42035,                0.82156,             0.00078682,             0.00078682,             0.00078682
                     18,                0.38953,                0.50278,                0.92141,                0.95646,                0.97222,                0.95838,                 0.9472,                0.24984,                0.40867,                 0.8073,             0.00073181,             0.00073181,             0.00073181
                     19,                0.37929,                0.47026,                  0.911,                0.96072,                0.96845,                0.96405,                0.94473,                0.26356,                0.40679,                0.81302,              0.0006768,              0.0006768,              0.0006768
                     20,                0.37445,                0.48979,                0.90705,                0.97023,                0.97222,                0.96899,                0.94155,                0.26012,                0.40126,                  0.821,             0.00062179,             0.00062179,             0.00062179
                     21,                0.35434,                0.44868,                0.90246,                0.96421,                0.96644,                0.97111,                0.95887,                0.23437,                0.41796,                0.81214,             0.00056678,             0.00056678,             0.00056678
                     22,                0.36431,                0.45213,                0.90791,                0.95283,                0.97154,                0.95975,                0.95453,                0.23738,                0.42752,                0.81137,             0.00051177,             0.00051177,             0.00051177
                     23,                 0.3459,                 0.4548,                0.91143,                0.97331,                0.97024,                0.95767,                0.95265,                0.27503,                0.40805,                0.82502,             0.00045676,             0.00045676,             0.00045676
                     24,                0.32976,                0.43561,                0.89427,                0.96551,                0.97053,                0.95916,                0.95076,                0.24676,                0.39403,                0.81006,             0.00040175,             0.00040175,             0.00040175
                     25,                0.34455,                0.47355,                0.90251,                0.97074,                0.96991,                0.97015,                0.96779,                0.23456,                0.40549,                0.80856,             0.00034674,             0.00034674,             0.00034674
                     26,                0.31243,                0.39833,                0.88931,                0.97165,                0.97222,                0.97011,                0.96851,                0.21414,                 0.3836,                0.80504,             0.00029172,             0.00029172,             0.00029172
                     27,                0.31654,                0.43374,                0.89903,                0.97166,                0.95664,                0.97011,                0.96851,                0.21308,                 0.3851,                0.79996,             0.00023671,             0.00023671,             0.00023671
                     28,                0.31432,                0.41913,                0.89101,                0.96218,                0.97003,                0.96894,                0.96492,                0.20991,                0.36886,                0.80173,              0.0001817,              0.0001817,              0.0001817
                     29,                0.29565,                0.38403,                0.88457,                0.97321,                0.97222,                0.96951,                0.96595,                0.22217,                0.37062,                0.80331,             0.00012669,             0.00012669,             0.00012669
